SKU,Product Name,Category,Supplier,Cost,Selling,Stock,Created At
undefined,Flower Pot Set,Books & Education,Metro Goods,16.00,22.99,70,2025-03-25
undefined,Lawn Mower,Books & Education,BrightMart Ltd,200.00,250.00,10,2025-03-24
undefined,Plant Fertilizer 5kg,Books & Education,NextGen Supplies,12.00,18.50,55,2025-03-23
undefined,Outdoor Chair Set,Books & Education,Urban Traders,110.00,150.00,20,2025-03-22
undefined,Garden Hose 30m,Books & Education,Global Distributors,18.00,25.00,45,2025-03-21
undefined,Pearl Earrings,Office & Furniture,Brightline Wholesalers,55.00,75.00,30,2025-03-20
undefined,Luxury Watch,Office & Furniture,Vista Distributors,360.00,450.00,12,2025-03-19
undefined,Diamond Ring,Office & Furniture,Apex Traders,490.00,599.00,10,2025-03-18
undefined,Silver Bracelet,Office & Furniture,Prime Imports,65.00,89.00,25,2025-03-17
undefined,Gold Necklace,Office & Furniture,Metro Supplies,250.00,299.99,15,2025-03-16
undefined,Dog Collar,Food Essentials,Supplier Five,5.00,7.99,100,2025-03-15
undefined,Bird Feeder,Food Essentials,Supplier Four,8.00,12.00,40,2025-03-14
undefined,Pet Shampoo,Food Essentials,Supplier Three,6.00,9.50,80,2025-03-13
undefined,Cat Litter 5kg,Food Essentials,Supplier Two,13.00,20.00,75,2025-03-12
undefined,Dog Food 10kg,Food Essentials,Supplier One,25.00,35.00,50,2025-03-11
undefined,Stapler with Pins,Apparel,Metro Goods,3.50,5.50,120,2025-03-10
undefined,Highlighters (Set of 5),Apparel,BrightMart Ltd,3.00,4.99,100,2025-03-09
undefined,Printer Paper 500 Sheets,Apparel,NextGen Supplies,4.50,6.50,150,2025-03-08
undefined,Ballpoint Pens (Pack of 10),Apparel,Urban Traders,2.50,3.99,180,2025-03-07
undefined,Notebook A5,Apparel,Global Distributors,1.50,2.50,200,2025-03-06
undefined,Vacuum Cleaner,Home Electronics,Brightline Wholesalers,100.00,130.00,20,2025-03-05
undefined,Electric Kettle,Home Electronics,Vista Distributors,20.00,29.99,70,2025-03-04
undefined,Toaster 2-Slice,Home Electronics,Apex Traders,25.00,35.99,60,2025-03-03
undefined,Microwave Oven,Home Electronics,Prime Imports,95.00,120.00,25,2025-03-02
undefined,Blender 1.5L,Home Electronics,Metro Supplies,50.00,65.00,40,2025-03-01
undefined,Puzzle 1000 Pieces,Learning Materials,Supplier Five,13.00,20.00,90,2025-02-28
undefined,Doll House,Learning Materials,Supplier Four,32.00,45.00,30,2025-02-27
undefined,Toy Car,Learning Materials,Supplier Three,5.50,8.99,120,2025-02-26
undefined,Board Game - Monopoly,Learning Materials,Supplier Two,22.00,35.00,50,2025-02-25
undefined,LEGO Classic Set,Learning Materials,Supplier One,40.00,55.00,60,2025-02-24
undefined,First Aid Kit,Office Essentials,Metro Goods,17.00,25.00,75,2025-02-23
undefined,Blood Pressure Monitor,Office Essentials,BrightMart Ltd,45.00,59.99,45,2025-02-22
undefined,Digital Thermometer,Office Essentials,NextGen Supplies,6.50,10.99,90,2025-02-21
undefined,Protein Powder 1kg,Office Essentials,Urban Traders,35.00,49.99,80,2025-02-20
undefined,Vitamin C Tablets,Office Essentials,Global Distributors,9.00,14.99,100,2025-02-19
undefined,LED Headlights,Food & Beverages,Brightline Wholesalers,55.00,75.00,35,2025-02-18
undefined,Windshield Wipers,Food & Beverages,Vista Distributors,9.00,12.99,65,2025-02-17
undefined,Car Floor Mats,Food & Beverages,Apex Traders,18.00,25.00,45,2025-02-16
undefined,Engine Oil 1L,Food & Beverages,Prime Imports,6.50,8.99,90,2025-02-15
undefined,Car Air Freshener,Food & Beverages,Metro Supplies,3.00,5.50,150,2025-02-14
undefined,Cycling Helmet,Fashion,Supplier Five,25.00,35.99,60,2025-02-13
undefined,Football Size 5,Fashion,Supplier Four,13.00,20.00,70,2025-02-12
undefined,Tennis Racket,Fashion,Supplier Three,48.00,65.50,40,2025-02-11
undefined,Dumbbell Set 10kg,Fashion,Supplier Two,35.00,45.99,55,2025-02-10
undefined,Yoga Mat,Fashion,Supplier One,17.00,25.00,80,2025-02-09
undefined,Perfume Spray 100ml,Appliances,Metro Goods,40.00,55.00,50,2025-02-08
undefined,Hair Conditioner,Appliances,BrightMart Ltd,7.00,10.99,75,2025-02-07
undefined,Shampoo 500ml,Appliances,NextGen Supplies,6.50,9.99,85,2025-02-06
undefined,Moisturizer Cream,Appliances,Urban Traders,8.00,12.50,100,2025-02-05
undefined,Facial Cleanser,Appliances,Global Distributors,10.00,15.99,65,2025-02-04
undefined,Self Help Journal,Books,Brightline Wholesalers,4.00,7.50,90,2025-02-03
undefined,Python Programming Book,Books,Vista Distributors,25.00,35.00,50,2025-02-02
undefined,1984 by George Orwell,Books,Apex Traders,6.00,9.99,80,2025-02-01
undefined,To Kill a Mockingbird,Books,Prime Imports,7.00,10.50,75,2025-01-31
undefined,The Great Gatsby,Books,Metro Supplies,8.00,12.99,60,2025-01-30
undefined,Bed Frame Queen Size,Furniture,Supplier Five,350.00,450.00,15,2025-01-29
undefined,Dining Table Set,Furniture,Supplier Four,390.00,499.99,20,2025-01-28
undefined,Bookshelf 5-Tier,Furniture,Supplier Three,85.00,120.00,40,2025-01-27
undefined,Wooden Desk,Furniture,Supplier Two,190.00,250.00,25,2025-01-26
undefined,Office Chair,Furniture,Supplier One,110.00,149.99,30,2025-01-25
undefined,Green Tea Pack,Groceries,Metro Goods,3.00,5.49,90,2025-01-24
undefined,Corn Flakes 1kg,Groceries,BrightMart Ltd,4.50,6.99,65,2025-01-23
undefined,Organic Honey 500ml,Groceries,NextGen Supplies,5.50,8.50,75,2025-01-22
undefined,Olive Oil 1L,Groceries,Urban Traders,6.00,9.99,110,2025-01-21
undefined,Basmati Rice 10kg,Groceries,Global Distributors,12.00,18.50,95,2025-01-20
undefined,Casual T-Shirt,Clothing,Brightline Wholesalers,15.00,25.00,200,2025-01-19
undefined,Leather Handbag,Clothing,Vista Distributors,90.00,130.00,50,2025-01-18
undefined,Running Sneakers,Clothing,Apex Traders,65.00,89.99,85,2025-01-17
undefined,Women’s Summer Dress,Clothing,Prime Imports,30.00,45.50,140,2025-01-16
undefined,Men’s Denim Jacket,Clothing,Metro Supplies,40.00,59.99,120,2025-01-15
undefined,Sony WH-1000XM5 Headphones,Electronics,Supplier Five,280.00,349.99,60,2025-01-14
undefined,Lenovo ThinkPad X1,Electronics,Supplier Four,1000.00,1199.00,18,2025-01-13
undefined,Apple iPhone 14,Electronics,Supplier Three,950.00,1099.00,27,2025-01-12
undefined,HP Pavilion Laptop,Electronics,Supplier Two,850.00,999.00,32,2025-01-11
undefined,Samsung Galaxy S23,Electronics,Supplier One,650.00,799.99,45,2025-01-10
undefined,Monitor 27inch,Electronics,Supplier Three,140.00,240.00,6,2025-04-29
undefined,Monitor 24inch,Electronics,Supplier Three,120.00,200.00,7,2025-04-28
undefined,Study Desk,Furniture,Supplier Five,100.00,170.00,5,2025-04-27
undefined,Mango Juice 1L,Groceries,Supplier Five,3.00,6.00,110,2025-04-26
undefined,Apple Juice 1L,Groceries,Supplier Five,3.00,6.00,120,2025-04-25
undefined,Casual Sneakers,Clothing,Supplier Four,20.00,48.00,22,2025-04-24
undefined,Formal Shoes,Clothing,Supplier Four,25.00,60.00,20,2025-04-23
undefined,Wireless Mouse,Electronics,Supplier Two,12.00,25.00,30,2025-04-22
undefined,Mechanical Keyboard,Electronics,Supplier One,25.00,45.00,25,2025-04-21
undefined,LG Smart TV 65",Electronics,Supplier Two,700.00,1080.00,3,2025-04-20
undefined,Samsung Smart TV 55",Electronics,Supplier One,520.00,820.00,5,2025-04-19
undefined,Book: Artificial Intelligence,Books,Supplier Two,16.00,35.00,18,2025-04-18
undefined,Book: Machine Learning,Books,Supplier Two,14.00,30.00,25,2025-04-17
undefined,Leather Office Chair,Furniture,Supplier Five,120.00,210.00,8,2025-04-16
undefined,Desk Organizer,Furniture,Supplier Five,15.00,28.00,20,2025-04-15
undefined,Cheese 250g,Groceries,Supplier Five,2.00,6.00,50,2025-04-14
